start time,finish time,time diff,file size,transmitted,block size,transfer speed (b/s),write to file,transfer complete
1693340759.6932795,1693340759.6934385,0.0001590251922607422,1000,1000,512,6288311,False,True
1693340759.726241,1693340759.7264314,0.00019025802612304688,1000,1000,1024,5256020,False,True
1693340759.7571964,1693340759.757386,0.0001895427703857422,1000,1000,2048,5275854,False,True
1693340759.793209,1693340759.7935803,0.0003712177276611328,1000,1000,512,2693836,True,True
1693340759.8231752,1693340759.8236256,0.00045037269592285156,1000,1000,1024,2220383,True,True
1693340759.8532953,1693340759.8535564,0.00026106834411621094,1000,1000,2048,3830414,True,True
1693340759.8851287,1693340759.8853934,0.0002646446228027344,2000,2000,512,7557304,False,True
1693340759.918691,1693340759.918855,0.000164031982421875,2000,2000,1024,12192744,False,True
1693340759.9481876,1693340759.9483113,0.00012373924255371094,2000,2000,2048,16163021,False,True
1693340759.9755583,1693340759.9760733,0.000514984130859375,2000,2000,512,3883614,True,True
1693340760.0071645,1693340760.0075076,0.00034308433532714844,2000,2000,1024,5829470,True,True
1693340760.0504515,1693340760.0512602,0.0008087158203125,2000,2000,2048,2473056,True,True
1693340760.0911396,1693340760.091523,0.0003833770751953125,3000,3000,512,7825194,False,True
1693340760.1223898,1693340760.1226683,0.000278472900390625,3000,3000,1024,10773041,False,True
1693340760.154081,1693340760.1543477,0.0002665519714355469,3000,3000,2048,11254840,False,True
1693340760.1822014,1693340760.1836534,0.0014519691467285156,3000,3000,512,2066159,True,True
1693340760.2139995,1693340760.2145114,0.0005118846893310547,3000,3000,1024,5860694,True,True
1693340760.2479784,1693340760.2485633,0.0005848407745361328,3000,3000,2048,5129601,True,True
1693340760.2806382,1693340760.2813423,0.0007040500640869141,4000,4000,512,5681414,False,True
1693340760.3190389,1693340760.3193152,0.00027632713317871094,4000,4000,1024,14475596,False,True
1693340760.3511128,1693340760.3513303,0.000217437744140625,4000,4000,2048,18396070,False,True
1693340760.3825383,1693340760.3836284,0.0010900497436523438,4000,4000,512,3669557,True,True
1693340760.4181747,1693340760.4190145,0.0008397102355957031,4000,4000,1024,4763547,True,True
1693340760.4600883,1693340760.460356,0.0002677440643310547,4000,4000,2048,14939640,True,True
1693340760.488857,1693340760.4893239,0.0004668235778808594,5000,5000,512,10710684,False,True
1693340760.5196688,1693340760.5199244,0.000255584716796875,5000,5000,1024,19562985,False,True
1693340760.5484767,1693340760.548686,0.00020933151245117188,5000,5000,2048,23885558,False,True
1693340760.5745487,1693340760.5752003,0.0006515979766845703,5000,5000,512,7673443,True,True
1693340760.6025984,1693340760.6031094,0.0005109310150146484,5000,5000,1024,9786056,True,True
1693340760.6293747,1693340760.6297576,0.0003829002380371094,5000,5000,2048,13058231,True,True
1693340760.6596422,1693340760.6601367,0.0004944801330566406,6000,6000,512,12133955,False,True
1693340760.688295,1693340760.6885855,0.0002906322479248047,6000,6000,1024,20644646,False,True
1693340760.7155387,1693340760.71577,0.00023126602172851562,6000,6000,2048,25944148,False,True
1693340760.7462897,1693340760.7473214,0.001031637191772461,6000,6000,512,5815998,True,True
1693340760.7824585,1693340760.783729,0.0012705326080322266,6000,6000,1024,4722428,True,True
1693340760.8260381,1693340760.8269498,0.000911712646484375,6000,6000,2048,6581020,True,True
1693340760.8678792,1693340760.8684933,0.000614166259765625,7000,7000,512,11397565,False,True
1693340760.9018865,1693340760.902209,0.00032258033752441406,7000,7000,1024,21700020,False,True
1693340760.9349945,1693340760.9352937,0.00029921531677246094,7000,7000,2048,23394524,False,True
1693340760.9696722,1693340760.9704282,0.0007560253143310547,7000,7000,512,9258949,True,True
1693340761.0028954,1693340761.0039067,0.0010113716125488281,7000,7000,1024,6921293,True,True
1693340761.0393445,1693340761.0398333,0.0004887580871582031,7000,7000,2048,14322013,True,True
1693340761.0721123,1693340761.0728385,0.0007262229919433594,8000,8000,512,11015900,False,True
1693340761.103999,1693340761.1044176,0.00041866302490234375,8000,8000,1024,19108446,False,True
1693340761.1415682,1693340761.1418376,0.0002694129943847656,8000,8000,2048,29694187,False,True
1693340761.1804862,1693340761.1813064,0.000820159912109375,8000,8000,512,9754195,True,True
1693340761.2225995,1693340761.2235692,0.0009696483612060547,8000,8000,1024,8250413,True,True
1693340761.257263,1693340761.2578862,0.0006232261657714844,8000,8000,2048,12836431,True,True
1693340761.295378,1693340761.296304,0.0009260177612304688,9000,9000,512,9719036,False,True
1693340761.330048,1693340761.3304746,0.0004265308380126953,9000,9000,1024,21100467,False,True
1693340761.3682477,1693340761.3685615,0.00031375885009765625,9000,9000,2048,28684449,False,True
